datetime,open,high,low,close,volume,smoothed_close,is_critical,critical_type,critical_subtype,ma_short,ma_long,volume_ma
2025-10-14,510.23001,515.28003,506.0,513.57001,14684300,514.0782847428574,True,extremum,peak,517.1659976,515.6224973,17978060.0
2025-10-15,514.96002,517.19,510.0,513.42999,14694700,512.7879944571432,True,,,514.8819996,515.79299735,17184300.0
2025-10-16,512.58002,516.84998,508.13,511.60999,15559600,512.2974280000003,True,extremum,trough,512.7239936,515.9509963500001,16617970.0
2025-10-17,509.040009,515.47998,507.31,513.58002,19867800,513.6682885714288,False,,,513.2479996,515.73349785,17093520.0
2025-10-20,514.60999,518.70001,513.42999,516.78998,14665600,516.1102751428575,False,,,513.7959979999999,515.85049635,16421220.0
2025-10-21,517.5,518.69,513.039978,517.65997,15586200,518.4502557142861,False,,,514.6139900000001,516.27199435,16518320.0
2025-10-22,521.15002,525.22998,517.71002,520.53998,18962700,519.6176968571432,False,,,516.035988,516.79149385,17078250.0
2025-10-23,522.46002,523.95001,518.60999,520.56,14023500,520.9079905714289,True,,,517.82599,517.4679939,16646240.0
2025-10-24,522.78998,525.34998,520.71002,523.60999,15532400,523.9571459714289,False,,,519.831984,518.0754939000001,15786100.0
2025-10-27,531.78003,534.58002,529.01001,531.52002,18734700,532.5048666857147,False,,,522.777992,518.9214959,16231150.0
2025-10-28,550.0,553.71997,540.77002,542.070007,29986700,541.2548639714289,True,extremum,peak,527.6599994000001,520.12749575,17761390.0
2025-10-29,544.94,546.27002,536.72998,541.54999,36023000,539.209142114286,True,,,531.8620014,521.21949425,19894220.0
2025-10-30,530.47998,534.96997,522.12,525.76001,41023100,527.7982840571431,True,,,532.9020034,521.72049525,22440570.0
2025-10-31,528.88,529.32001,515.099976,517.81,34006400,518.5317268000003,False,,,531.7420053999999,521.7434962499999,23854430.0
2025-11-03,519.81,524.96002,514.59003,517.030029,22374700,516.4694486571431,False,,,528.8440072,521.1664972000001,24625340.0
2025-11-04,511.76001,515.54999,507.84,514.33002,20958700,513.9760188000002,False,,,523.2960098,520.6839992,25162590.0
2025-11-05,513.29999,514.83002,506.57999,507.16,23024300,506.209435514286,True,,,516.4180118,519.7995002,25568750.0
2025-11-06,505.66,505.70001,495.81,497.10001,27406500,498.2134351428574,False,,,510.6860118000001,518.5344997,26907050.0
2025-11-07,496.95001,499.38,493.25,496.82001,24019800,498.1605805714289,True,extremum,trough,506.48801380000003,517.8275007,27755790.0
2025-11-10,500.040009,506.85001,498.79999,506.0,26101500,504.09371257142885,False,,,504.282008,517.4250013,28492470.0
2025-11-11,504.79999,509.60001,502.35001,508.67999,17980000,510.08313971428595,True,extremum,peak,503.152002,517.1805003000001,27291800.0
2025-11-12,509.35999,511.67001,499.12,511.14001,26574900,508.128005714286,False,,,503.948004,517.0660013,26346990.0
2025-11-13,510.31,513.5,501.29001,503.29001,25273100,507.5217208571431,False,,,505.186004,516.6500023,24771990.0
2025-11-14,498.23001,511.60001,497.44,510.17999,28505700,508.21799342857173,False,,,507.858,516.4800008,24221920.0
2025-11-17,508.45001,512.12,504.91,507.48999,19092800,505.8211371428574,False,,,508.155998,516.0150013,23893730.0
2025-11-18,495.37,502.98001,486.78,493.79001,33815100,496.1120031428574,False,,,505.178002,514.8215032999999,25179370.0
2025-11-19,490.10001,495.19,482.82999,487.12,23245300,485.96714371428607,False,,,500.37399999999997,513.1505043,25201470.0
2025-11-20,492.70999,493.57001,475.5,478.42999,26802500,478.282565714286,False,,,495.40199599999994,511.04400380000004,25141070.0
2025-11-21,478.5,478.92001,468.26999,472.12,31699600,472.2182828571428,True,extremum,trough,487.789998,508.4695043,25909050.0
2025-11-24,475.105,476.9,468.05,474.31,560415,474.28542928571403,False,,,481.154,505.60900330000004,23354941.5
