duration,amplitude,abs_amplitude,direction,volatility,price_range,curvature,volume_change,avg_volume,volume_volatility,stroke_id,stroke_length,symbol
172800.0,1.0,1.0,up,0.44390645130566286,1.0,0.7395626242544728,0.15541199523984217,0.385137331746614,0.4393785745609832,0,3,AAPL
432000.0,-1.0,1.0,down,0.40493568953482556,1.0,0.3167584102364822,1.0,0.36685763009938976,0.3936534737354747,1,4,AAPL
86400.0,-1.0,1.0,down,0.5,1.0,0.0,1.0,0.5,0.5,2,2,AAPL
86400.0,1.0,1.0,up,0.5,1.0,0.0,-1.0,0.5,0.5,3,2,AAPL
518400.0,1.0,1.0,up,0.3618879723668883,1.0,0.11904702646756377,-0.1785865956296811,0.4359113195892209,0.3510497681502264,4,5,AAPL
172800.0,0.8543293963254572,0.8543293963254572,up,0.4410969460335003,1.0,1.1456706036745428,0.9810999425064669,0.3396333524978443,0.4670134793866532,5,3,AAPL
604800.0,0.8759903254177667,0.8759903254177667,up,0.33704656525413346,1.0,0.5573869173262975,-0.9689338392721859,0.3009691122573788,0.356281685770351,6,6,AAPL
259200.0,-1.0,1.0,down,0.5,1.0,0.0,-1.0,0.5,0.5,7,2,AAPL
345600.0,1.0,1.0,up,0.3935070521766886,1.0,0.21077081079966908,0.7883733724555291,0.5206430710923651,0.39970534166600596,8,5,AAPL
864000.0,-0.8100070852239395,0.8100070852239395,down,0.3761159971289277,1.0,0.3818601222611611,-0.36656093039046966,0.3663559880952777,0.3110645607027751,9,7,AAPL
86400.0,1.0,1.0,up,0.5,1.0,0.0,-1.0,0.5,0.5,10,2,AAPL
518400.0,0.9783637446678448,0.9783637446678448,up,0.3708845007074237,1.0,0.3448278193562002,0.9720018236630888,0.28030196467889745,0.37186061128987674,11,5,AAPL
86400.0,1.0,1.0,up,0.5,1.0,0.0,-1.0,0.5,0.5,12,2,AAPL
172800.0,-0.7384293445803007,0.7384293445803007,down,0.4234379273300323,1.0,1.2615706554196993,-1.0,0.6264830356502403,0.44571580999698296,13,3,AAPL
604800.0,1.0,1.0,up,0.3562278505645534,1.0,0.21277368866328106,1.0,0.36750099645584894,0.32093923230115207,14,6,AAPL
86400.0,-1.0,1.0,down,0.5,1.0,0.0,1.0,0.5,0.5,15,2,AAPL
604800.0,-1.0,1.0,down,0.3515451160594881,1.0,0.6052689473684317,-0.8930350249505696,0.2614804004644886,0.3350034462490183,16,6,AAPL
432000.0,0.7374631268436608,0.7374631268436608,up,0.4126707160312093,1.0,0.9188812684365874,0.024077001241955553,0.6667219430958564,0.4036661430792811,17,4,AAPL
604800.0,-0.8142620232172473,0.8142620232172473,down,0.4322200746880938,1.0,0.435324626865671,-0.8687338613904536,0.6174927092526212,0.32345798246552154,18,6,AAPL
86400.0,-1.0,1.0,down,0.5,1.0,0.0,1.0,0.5,0.5,19,2,AAPL
345600.0,1.0,1.0,up,0.40884834230501405,1.0,0.09394363256784688,-0.77436688371236,0.59145562790412,0.4282463431453214,20,3,AAPL
