duration,amplitude,abs_amplitude,direction,volatility,price_range,curvature,volume_change,avg_volume,volume_volatility,stroke_id,stroke_length,symbol
604800.0,1.0,1.0,up,0.3182875073227095,1.0,0.2558346997293839,-0.13352826785810046,0.2935770861616244,0.32846810724267406,0,6,GOOGL
864000.0,0.9704180064308677,0.9704180064308677,up,0.3871127106323751,1.0,0.2716582544786403,0.5539127298954201,0.3621703013393563,0.3315767076306637,1,9,GOOGL
950400.0,-1.0,1.0,down,0.3417377468512096,1.0,0.21543307409616205,-0.5623984979038636,0.37572299167480483,0.2677936747750288,2,8,GOOGL
172800.0,1.0,1.0,up,0.4184669126812821,1.0,0.38995131255333404,-1.0,0.5560689680049057,0.41587753607635136,3,3,GOOGL
345600.0,0.9330725711518549,0.9330725711518549,up,0.4564480868338038,1.0,1.066927428848145,0.7157333780920211,0.5719111260306736,0.4207244784424428,4,3,GOOGL
345600.0,-1.0,1.0,down,0.33203941198724124,1.0,0.17676817234464628,0.36094734359734526,0.4703028669608867,0.3563633181814,5,5,GOOGL
604800.0,1.0,1.0,up,0.34087332073834387,1.0,0.25582690127131025,-0.3169929621364749,0.48626306612339304,0.314656279709037,6,6,GOOGL
345600.0,-0.4663381488937591,0.4663381488937591,down,0.40855657033020226,1.0,1.533661851106241,0.706697006237506,0.43110099792083134,0.41971515536334547,7,3,GOOGL
86400.0,1.0,1.0,up,0.5,1.0,0.0,-1.0,0.5,0.5,8,2,GOOGL
691200.0,1.0,1.0,up,0.34319489317200347,1.0,0.18932493141157064,0.7248183706657256,0.33185767349181,0.29893038263897015,9,7,GOOGL
86400.0,-1.0,1.0,down,0.5,1.0,0.0,-1.0,0.5,0.5,10,2,GOOGL
259200.0,1.0,1.0,up,0.5,1.0,0.0,-1.0,0.5,0.5,11,2,GOOGL
691200.0,0.5511986573701195,0.5511986573701195,up,0.34601067563690624,1.0,0.76819285998029,-0.5737472232639991,0.6019807040030333,0.2888613136337853,12,7,GOOGL
259200.0,-1.0,1.0,down,0.40494755235335705,1.0,0.3194610738255026,1.0,0.5600291399479886,0.3848580308872509,13,4,GOOGL
259200.0,1.0,1.0,up,0.5,1.0,0.0,1.0,0.5,0.5,14,2,GOOGL
172800.0,0.913248651817112,0.913248651817112,up,0.4523456024444291,1.0,1.0867513481828879,0.8155744162351236,0.3948085279216255,0.4345079495966645,15,3,GOOGL
86400.0,-1.0,1.0,down,0.5,1.0,0.0,-1.0,0.5,0.5,16,2,GOOGL
86400.0,1.0,1.0,up,0.5,1.0,0.0,1.0,0.5,0.5,17,2,GOOGL
259200.0,1.0,1.0,up,0.5,1.0,0.0,-1.0,0.5,0.5,18,2,GOOGL
