datetime,open,high,low,close,volume,smoothed_close,is_critical,critical_type,critical_subtype,ma_short,ma_long,volume_ma
2025-09-02,208.44,211.67999,206.2,211.35001,47523000,211.6850099571428,False,,,211.35001,211.35001,47523000.0
2025-09-03,226.21001,231.31,224.78999,230.66,103336100,229.3200001714286,False,,,221.00500499999998,221.00500499999998,75429550.0
2025-09-04,229.64999,232.37,226.11,232.3,51684200,234.3099997428573,False,,,224.77000333333334,224.77000333333334,67514433.33333333
2025-09-05,232.2,235.75999,231.89999,235.0,46588900,233.72028331428587,False,,,227.3275025,227.3275025,62283050.0
2025-09-08,235.47,238.13,233.67,234.039993,32474700,235.995139457143,False,,,228.6700006,228.6700006,56321380.0
2025-09-09,234.17,240.47,233.23,239.63,38061000,237.889140457143,True,,,234.3259986,230.4966671666667,53277983.333333336
2025-09-10,238.89999,241.66,237.85001,239.17,35141100,240.03914345714298,False,,,236.0279986,231.7357147142857,50687000.0
2025-09-11,239.88,242.25,236.25,240.37,30599300,239.20600000000016,False,,,237.6419986,232.815000375,48176037.5
2025-09-12,240.37,242.080002,238.0,240.8,26771600,243.61057142857157,False,,,238.8019986,233.70222255555552,45797766.666666664
2025-09-15,244.66,252.41,244.66,251.61,58383800,248.891142857143,False,,,242.31599999999997,235.4930003,47056370.0
2025-09-16,252.080002,253.039993,249.47,251.16,34109700,251.56885722857157,False,,,244.622,236.91727300000002,45715040.0
2025-09-17,251.22,251.60001,246.28,249.53,34108000,250.32285680000015,False,,,246.69400000000002,237.96833358333333,38792230.0
2025-09-18,251.67999,253.99001,249.8,252.029999,31239500,252.12685665714298,False,,,249.0259998,239.05000015384616,36747760.0
2025-09-19,253.25,256.0,251.81,254.72,55571400,253.753999657143,True,extremum,peak,251.8099998,240.16928585714285,37646010.0
2025-09-22,254.42999,255.78,250.3,252.53,32290500,253.487428657143,False,,,251.99399979999998,240.99333346666666,37627590.0
2025-09-23,253.039993,254.36,250.48,251.66,26628000,250.64942942857155,False,,,252.09399979999998,241.660000125,36484290.0
2025-09-24,251.66,252.35001,246.44,247.14,28201000,247.81628314285726,False,,,251.6159998,241.9823530588235,35790280.0
2025-09-25,244.39999,246.49001,240.74001,245.78999,31020400,246.155991457143,False,,,250.367998,242.19388844444444,35832390.0
2025-09-26,247.070007,249.42,245.97,246.53999,18503200,245.67256331428587,False,,,248.73199599999998,242.42263063157895,35005550.0
2025-09-29,247.85001,251.14999,242.77,244.050003,32505800,244.3560031714287,False,,,247.0359966,242.50399925000002,32417750.0
2025-09-30,242.81,243.28999,239.25,243.10001,34724300,243.52600331428584,True,extremum,trough,245.3239986,244.09149925000003,32479210.0
2025-10-01,240.75,246.3,238.61,244.89999,31658200,244.587997457143,False,,,244.8759966,244.80349875000002,32234230.0
2025-10-02,245.14999,246.81,242.3,245.69,25483300,245.11828571428586,True,,,244.85599859999996,245.47299875,31658610.0
2025-10-03,244.49001,246.3,241.66,245.35001,30249600,247.2117174285716,False,,,244.6180026,245.99049925,29126430.0
2025-10-06,244.78,251.32001,244.58,250.42999,28894700,247.99142371428587,True,extremum,peak,245.894,246.80999909999997,28786850.0
2025-10-07,248.27,250.44,245.52,245.75999,23181300,247.367990857143,False,,,246.425996,247.11649860000003,28442180.0
2025-10-08,244.96001,246.0099945,243.82001,244.62,21307100,244.14342514285727,False,,,246.36999799999998,247.3889986,27752790.0
2025-10-09,244.47,244.75999,239.14999,241.53,27892100,240.30171942857157,False,,,245.53799799999996,247.4469986,27439960.0
